OrderID,Customer,Date,Product,Category,Qty,Price,Status
ORD-1001,Diana Prince,02/14/2024,Desk Lamp,Office,2,34.99,Pending
1002,Charlie  CHI,08-02-2024,"""Resistance Band""",Sports,4,12.99,shipped
1003,Alice  NYC,06/21/24,Hat,Clothing,3,$19.99,returned
1004,Leo  DEN,04-03-2024,Jump Rope,Sports,8,9.99,returned
1005,Tina  BOS,05/28/24,Desk Lamp,Office,1,$34.99,cancelled
1006,Mia  PDX,12/25/24,Stapler,Office,4,16,pending
1007,Hank  BOS,16-12-2024,Blanket,Home,9,$34.99,delivered
1008,Bob  LA,18-04-2024,"""Blanket""",Home,10,35,Pending
1009,Olivia  LA,26-10-2024,Sneakers,Clothing,9,75,Pending
1010,Eve  SF,14-12-2024,Laptop,Electronics,3,$799.99,returned
1011,Tina  BOS,12/15/2024,Jump Rope,Sports,1,9.99,Delivered
1012,Karen  ATL,04-01-2024,Toaster,Home,5,29.99,returned
1013,Jack  PHX,10-03-2024,Resistance Band,Sports,6,$12.99,delivered
1014,Paul  CHI,02-10-2024,Chair,Office,4,199.99,shipped
1015,Rose  DAL,09/27/2024,Belt,Clothing,3,30,Pending
1016,Rose  DAL,21-09-2024,Dress,Clothing,6,49,returned
1017,Charlie  CHI,02-06-2024,Resistance Band,Sports,4,12.99,cancelled
1018,Bob  LA,10-03-2024,Smartphone,Electronics,8,$699.99,shipped
1019,Paul  CHI,04-08-2024,"""Jeans""",Clothing,7,60,shipped
1020,Bob  LA,05-07-2024,Laptop,Electronics,6,799.99,cancelled
1021,Eve  SF,10-08-2024,Calculator,Office,2,24,delivered
1022,Rose  DAL,19-04-2024,Monitor,Electronics,8,299,delivered
1023,Alice  NYC,03-20-2024,Calculator,Office,9,24,Delivered
1024,Bob  LA,26-10-2024,Yoga Mat,Sports,1,29.99,processing
1025,Quinn  SF,02-04-2024,Yoga Mat,Sports,2,29.99,Pending
1026,Sam  SEA,10/16/2024,Yoga Mat,Sports,7,29.99,RETURNED
ORD-1027,Grace  SEA,22-08-2024,Desk Lamp,Office,3,35,returned
1028,Tina  BOS,08-03-2024,Mouse,Electronics,9,25,returned
1029,Leo  DEN,12-07-2024,Blanket,Home,9,34.99,Delivered
1030,Diana  NYC,20-03-2024,Dress,Clothing,2,49.99,Delivered
ORD-1031,Karen  ATL,20-11-2024,Calculator,Office,1,24.99,Delivered
1032,Karen  ATL,10/14/24,Stapler,Office,9,15,returned
1033,Eve  SF,07-05-2024,Stapler,Office,1,16,RETURNED
ORD-1034,Hank  BOS,03-24-2024,Binder,Office,3,$5.99,Pending
1035,Karen  ATL,20-01-2024,Pillow,Home,2,24,cancelled
1036,Olivia  LA,17-06-2024,"""Sneakers""",Clothing,4,75,returned
1037,Ivy  MIA,01/15/24,Water Bottle,Sports,9,15,Delivered
1038,Ivy  MIA,11-06-2024,Water Bottle,Sports,6,14,returned
1039,Sam  SEA,05-07-2024,"""USB Hub""",Electronics,9,$19.99,returned
1040,Karen  ATL,25-07-2024,Headphones,Electronics,7,90,processing
1041,Nate  NYC,10-07-2024,Toaster,Home,5,29,Delivered
1042,Nate  NYC,12-11-2024,Running Shoes,Sports,8,89,processing
ORD-1043,Frank  DAL,04-25-2024,"""Whiteboard""",Office,4,50,pending
1044,Hank  BOS,22-12-2024,Yoga Mat,Sports,10,$29.99,shipped
1045,Eve  SF,12/22/2024,Mouse,Electronics,4,$25.00,shipped
1046,Hank  BOS,10/13/2024,Tablet,Electronics,8,349.99,RETURNED
1047,Olivia  LA,22-03-2024,Water Bottle,Sports,9,14,shipped
1048,Hank  BOS,09-02-2024,Calculator,Office,5,24,cancelled
1049,Karen  ATL,12-27-2024,Keyboard,Electronics,7,$45.00,returned
1050,Karen  ATL,10/26/24,Coffee Maker,Home,7,59,Pending
1051,Leo  DEN,22-04-2024,Rug,Home,9,89.99,cancelled
1052,Paul  CHI,11/14/2024,Binder,Office,8,$5.99,delivered
1053,Sam  SEA,04-03-2024,Mouse,Electronics,3,25,Delivered
1054,Grace  SEA,11-02-2024,Binder,Office,7,6,delivered
1055,Bob  LA,05-06-2024,Desk Lamp,Office,1,34.99,delivered
1056,Hank  BOS,07-07-2024,Charger,Electronics,8,15,returned
1057,Frank  DAL,12-12-2024,"""Charger""",Electronics,5,14.99,Pending
1058,Grace  SEA,03-02-2024,Jeans,Clothing,5,59.99,delivered
1059,Nate  NYC,09-07-2024,Smartphone,Electronics,1,699,Pending
1060,Olivia  LA,02-10-2024,Toaster,Home,5,29.99,shipped
1061,Sam  SEA,08/25/2024,Jeans,Clothing,8,$59.99,Pending
1062,Paul  CHI,05/23/2024,Belt,Clothing,5,30,Delivered
1063,Quinn  SF,03-05-2024,Monitor,Electronics,8,299.99,shipped
1064,Alice Smith,07-07-2024,Hat,Clothing,5,19.99,processing
1065,Nate  NYC,05-06-2024,Jump Rope,Sports,8,10,cancelled
1066,Grace  SEA,05/21/2024,Running Shoes,Sports,4,89,processing
1067,Diana  NYC,12/28/2024,Desk Lamp,Office,5,34.99,pending
1068,Bob  LA,25-05-2024,Belt,Clothing,1,29.99,shipped
1069,Frank  DAL,09-08-2024,Calculator,Office,2,24,delivered
1070,Sam  SEA,11-01-2024,Monitor,Electronics,7,299.99,cancelled
1071,Mia  PDX,10/18/2024,Blanket,Home,7,35,delivered
1072,Diana  NYC,05-02-2024,Sneakers,Clothing,2,$75.00,processing
1073,Alice  NYC,27-12-2024,Water Bottle,Sports,4,15,shipped
1074,Hank  BOS,02/28/2024,Running Shoes,Sports,4,89,cancelled
1075,Ivy  MIA,18-10-2024,Laptop,Electronics,5,799.99,shipped
ORD-1076,Jack  PHX,09-08-2024,Calculator,Office,10,24.99,Delivered
1077,Hank  BOS,01-21-2024,Resistance Band,Sports,5,12.99,shipped
1078,Olivia  LA,28-08-2024,Hat,Clothing,8,19.99,Pending
1079,Diana  NYC,10-08-2024,Binder,Office,5,5,shipped
1080,Ivy  MIA,07/30/24,Coffee Maker,Home,9,59,cancelled
1081,Tina  BOS,27-05-2024,Coffee Maker,Home,9,$59.99,shipped
1082,Tina  BOS,02-17-2024,Dress,Clothing,9,49,returned
1083,Diana  NYC,27-12-2024,Belt,Clothing,5,29.99,Pending
1084,Paul  CHI,03-10-2024,Dumbbell,Sports,10,39.99,Delivered
1085,Nate  NYC,10/27/2024,Jump Rope,Sports,5,10,shipped
1086,Olivia  LA,21-08-2024,Whiteboard,Office,9,49,cancelled
1087,Hank  BOS,07-16-2024,"""Hat""",Clothing,8,19,shipped
1088,Eve  SF,26-09-2024,Jump Rope,Sports,8,9.99,delivered
1089,Nate  NYC,15-11-2024,Jeans,Clothing,5,60,returned
1090,Rose  DAL,02-05-2024,Calculator,Office,1,24.99,Delivered
1091,Charlie  CHI,24-01-2024,Mouse,Electronics,5,25,delivered
1092,Leo  DEN,03/30/24,Hat,Clothing,3,$19.99,Pending
1093,Hank  BOS,05-10-2024,Dumbbell,Sports,5,39,shipped
1094,Rose  DAL,19-12-2024,Lamp,Home,5,39,shipped
ORD-1095,Grace  SEA,21-10-2024,Blender,Home,10,45,Delivered
1096,Mia  PDX,11-09-2024,Running Shoes,Sports,1,89.99,cancelled
1097,Leo  DEN,11/17/24,Dress,Clothing,3,49.99,Delivered
1098,Bob  LA,03-30-2024,Jeans,Clothing,6,59,pending
1099,Leo  DEN,06/22/24,Stapler,Office,8,16,shipped
1100,Eve  SF,16-02-2024,Hat,Clothing,9,20,delivered
ORD-1101,Diana  NYC,12-11-2024,Binder,Office,6,5.99,shipped
1102,Rose  DAL,28-11-2024,Dumbbell,Sports,8,40,returned
1103,Bob  LA,17-07-2024,"""Blender""",Home,9,$44.99,RETURNED
1104,Rose  DAL,27-07-2024,Hat,Clothing,8,19.99,delivered
1105,Grace  SEA,26-11-2024,"""Socks""",Clothing,6,9.99,delivered
1106,Grace  SEA,26-01-2024,Blender,Home,10,44.99,cancelled
1107,Sam  SEA,03/16/2024,Dumbbell,Sports,4,40,delivered
1108,Eve  SF,03-08-2024,Jump Rope,Sports,2,9.99,RETURNED
1109,Hank  BOS,09/26/24,Keyboard,Electronics,3,45,returned
1110,Leo  DEN,12-03-2024,Tablet,Electronics,10,349.99,Delivered
1111,Alice Smith,30-12-2024,Rug,Home,2,89,returned
1112,Karen  ATL,30-12-2024,Keyboard,Electronics,10,45,Pending
1113,Quinn  SF,20-04-2024,Resistance Band,Sports,2,12.99,shipped
1114,Nate  NYC,06-08-2024,Rug,Home,2,90,Delivered
1115,Eve  SF,08-09-2024,"""Blender""",Home,2,44.99,RETURNED
1116,Rose  DAL,30-06-2024,Resistance Band,Sports,2,12,delivered
1117,Tina  BOS,04/24/24,Charger,Electronics,3,14,RETURNED
1118,Leo  DEN,11-10-2024,Desk Lamp,Office,9,34.99,delivered
1119,Ivy  MIA,04-02-2024,Chair,Office,6,199.99,Pending
1120,Alice Smith,21-03-2024,Dumbbell,Sports,8,40,Delivered
1121,Sam  SEA,12-11-2024,Keyboard,Electronics,10,45,Delivered
1122,Nate  NYC,25-06-2024,Rug,Home,9,89.99,returned
1123,Sam  SEA,01-04-2024,Notebook,Office,10,8.99,Delivered
1124,Eve  SF,03-30-2024,Whiteboard,Office,8,49,Pending
1125,Hank  BOS,10-01-2024,Pen Set,Office,1,12,returned
1126,Sam  SEA,06-15-2024,Rug,Home,7,89.99,shipped
1127,Leo  DEN,10-02-2024,Monitor,Electronics,7,299.99,Delivered
1128,Hank  BOS,09-18-2024,Jeans,Clothing,2,59.99,RETURNED
1129,Eve  SF,12-01-2024,Dress,Clothing,10,$49.99,pending
1130,Paul  CHI,14-06-2024,Resistance Band,Sports,10,12.99,pending
1131,Paul  CHI,07-02-2024,Chair,Office,6,199.99,shipped
1132,Bob  LA,10/31/2024,Pen Set,Office,2,12.99,Pending
1133,Rose  DAL,06/13/2024,Tablet,Electronics,10,$349.99,shipped
1134,Bob  LA,06-05-2024,Pen Set,Office,3,12.99,shipped
1135,Tina  BOS,27-01-2024,Chair,Office,6,199.99,returned
1136,Rose  DAL,06/19/24,Chair,Office,10,$199.99,pending
1137,Jack  PHX,13-10-2024,Toaster,Home,2,30,RETURNED
1138,Quinn  SF,19-04-2024,"""Lamp""",Home,5,$39.99,shipped
1139,Eve  SF,20-01-2024,Pen Set,Office,9,12.99,pending
1140,Eve  SF,07-05-2024,Dumbbell,Sports,1,39,shipped
1141,Olivia  LA,07-07-2024,Dress,Clothing,8,$49.99,shipped
1142,Jack  PHX,11-05-2024,Resistance Band,Sports,3,$12.99,Delivered
1143,Paul  CHI,05/25/24,Yoga Mat,Sports,9,29.99,pending
1144,Quinn  SF,06/27/24,Blender,Home,4,44,Pending
1145,Quinn  SF,20-02-2024,Blender,Home,1,45,pending
ORD-1146,Jack  PHX,11-11-2024,Toaster,Home,8,29,returned
1147,Grace  SEA,05-27-2024,Running Shoes,Sports,7,89.99,Delivered
1148,Hank  BOS,10-01-2024,"""Water Bottle""",Sports,8,14.99,processing
1149,Eve  SF,04-05-2024,Charger,Electronics,10,14,processing
ORD-1150,Charlie  CHI,11-01-2024,Resistance Band,Sports,9,12.99,shipped
1151,Mia  PDX,05-03-2024,Notebook,Office,2,9,RETURNED
ORD-1152,Leo  DEN,03-10-2024,Belt,Clothing,8,$29.99,shipped
1153,Grace  SEA,07/22/2024,TShirt,Clothing,5,25,shipped
1154,Grace  SEA,23-07-2024,Webcam,Electronics,6,59,Pending
1155,Frank  DAL,12-02-2024,Lamp,Home,9,40,returned
1156,Frank  DAL,08/16/2024,"""Pen Set""",Office,5,13,Pending
1157,Olivia  LA,11/23/24,Webcam,Electronics,7,60,returned
1158,Mia  PDX,01-18-2024,TShirt,Clothing,10,25,returned
1159,Leo  DEN,09-07-2024,Yoga Mat,Sports,8,30,returned
1160,Quinn  SF,05-04-2024,Chair,Office,2,199.99,processing
1161,Rose  DAL,21-12-2024,Calculator,Office,10,25,cancelled
1162,Charlie  CHI,12/29/24,Blender,Home,6,45,processing
ORD-1163,Jack  PHX,03-12-2024,Socks,Clothing,2,$9.99,shipped
1164,Rose  DAL,07-06-2024,Toaster,Home,2,29.99,shipped
1165,Nate  NYC,08/26/2024,Keyboard,Electronics,2,45,RETURNED
1166,Rose  DAL,09-22-2024,Jacket,Clothing,1,89.99,Delivered
1167,Karen  ATL,10-02-2024,Socks,Clothing,9,10,cancelled
1168,Rose  DAL,10-24-2024,Pen Set,Office,3,12.99,pending
1169,Tina  BOS,01/24/2024,Yoga Mat,Sports,1,29.99,Delivered
1170,Sam  SEA,24-11-2024,Tablet,Electronics,9,N/A,shipped
1171,Mia  PDX,08-25-2024,Laptop,Electronics,7,799,RETURNED
1172,Karen  ATL,09/20/2024,Whiteboard,Office,3,50,returned
1173,Olivia  LA,07/15/2024,Pillow,Home,1,25,Pending
1174,Frank  DAL,20-09-2024,Running Shoes,Sports,3,89,shipped
1175,Paul  CHI,06/29/24,Clock,Home,4,19.99,delivered
1176,Tina  BOS,09-03-2024,Blanket,Home,2,34,RETURNED
1177,Leo  DEN,05/27/24,Charger,Electronics,6,14.99,Pending
1178,Rose  DAL,20-07-2024,Running Shoes,Sports,3,89.99,RETURNED
1179,Leo  DEN,11-03-2024,Hat,Clothing,1,19.99,shipped
1180,Eve  SF,24-03-2024,Dumbbell,Sports,10,40,Delivered
1181,Quinn  SF,09-01-2024,Water Bottle,Sports,5,14,RETURNED
1182,Nate  NYC,04/26/24,Charger,Electronics,10,14.99,shipped
ORD-1183,Tina  BOS,10/20/24,Toaster,Home,4,29.99,cancelled
1184,Karen  ATL,02-01-2024,Pillow,Home,10,24,processing
1185,Karen  ATL,29-09-2024,Rug,Home,3,89,processing
1186,Ivy  MIA,01-06-2024,Sneakers,Clothing,5,$75.00,cancelled
1187,Paul  CHI,13-07-2024,Chair,Office,10,199.99,RETURNED
1188,Eve  SF,09-02-2024,Pen Set,Office,8,13,cancelled
1189,Ivy  MIA,05-04-2024,Stapler,Office,10,$15.99,processing
1190,Hank  BOS,01-03-2024,Lamp,Home,2,$39.99,pending
1191,Paul  CHI,11/29/2024,Dress,Clothing,1,49.99,cancelled
1192,Bob  LA,22-07-2024,Hat,Clothing,3,19.99,pending
1193,Jack  PHX,25-05-2024,Headphones,Electronics,2,90,processing
1194,Eve  SF,24-03-2024,Blanket,Home,2,35,Delivered
1195,Alice  NYC,20-09-2024,Desk Lamp,Office,7,34,returned
1196,Diana Prince,13-05-2024,Belt,Clothing,4,29.99,cancelled
1197,Ivy  MIA,02-01-2024,Notebook,Office,6,$8.99,shipped
1198,Mia  PDX,11-10-2024,Pen Set,Office,5,13,cancelled
1199,Paul  CHI,10-02-2024,Jump Rope,Sports,9,9,cancelled
1200,Tina  BOS,10/15/24,Smartphone,Electronics,6,699.99,delivered
1201,Quinn  SF,02-29-2024,Dumbbell,Sports,9,39,shipped
1202,Quinn  SF,10/15/24,Tablet,Electronics,7,349,processing
1203,Jack  PHX,02-07-2024,Blanket,Home,4,34.99,Pending
1204,Charlie  CHI,26-05-2024,Mouse,Electronics,8,25,pending
1205,Nate  NYC,02-11-2024,Clock,Home,7,19,pending
1206,Leo  DEN,12-01-2024,Water Bottle,Sports,4,14.99,shipped
ORD-1207,Rose  DAL,05-21-2024,Pillow,Home,6,$24.99,returned
1208,Nate  NYC,18-01-2024,Monitor,Electronics,2,299.99,delivered
1209,Bob  LA,14-09-2024,Sneakers,Clothing,1,$75.00,cancelled
1210,Sam  SEA,03/14/2024,Running Shoes,Sports,4,90,cancelled
1211,Ivy  MIA,09-10-2024,Running Shoes,Sports,7,89.99,RETURNED
1212,Mia  PDX,04-04-2024,Binder,Office,5,5,shipped
1213,Hank  BOS,08-01-2024,Belt,Clothing,9,29,processing
1214,Hank  BOS,10-01-2024,Pen Set,Office,6,12.99,delivered
1215,Tina  BOS,21-04-2024,Monitor,Electronics,10,299.99,cancelled
1216,Karen  ATL,05-04-2024,Monitor,Electronics,2,299,cancelled
1217,Hank  BOS,13-05-2024,Binder,Office,6,6,processing
1218,Olivia  LA,07/30/24,Lamp,Home,6,40,cancelled
1219,Alice Smith,10-04-2024,Resistance Band,Sports,5,$12.99,cancelled
1220,Hank  BOS,08-23-2024,Chair,Office,8,199,RETURNED
1221,Rose  DAL,02-08-2024,Running Shoes,Sports,9,89.99,delivered
1222,Hank  BOS,01/31/2024,TShirt,Clothing,8,25,shipped
1223,Alice Smith,01-10-2024,"""Water Bottle""",Sports,9,15,delivered
1224,Nate  NYC,05-03-2024,Jeans,Clothing,9,$59.99,processing
1225,Leo  DEN,10-16-2024,Blender,Home,7,44,cancelled
1226,Charlie  CHI,08/31/24,Mouse,Electronics,7,25,delivered
1227,Charlie  CHI,01-22-2024,Lamp,Home,2,39.99,cancelled
1228,Sam  SEA,10/15/24,Mouse,Electronics,5,25,pending
1229,Karen  ATL,06-02-2024,Jacket,Clothing,7,89.99,cancelled
1230,Mia  PDX,13-09-2024,Jump Rope,Sports,3,9.99,delivered
1231,Hank  BOS,20-11-2024,Binder,Office,6,5.99,shipped
1232,Leo  DEN,02/13/2024,Rug,Home,10,89,Delivered
1233,Charlie  CHI,11-06-2024,Hat,Clothing,3,19,returned
